portfolio_name,market,ablation,reference_strategy,cumulative_return,delta_cumulative_return,sharpe,delta_sharpe,information_ratio,delta_information_ratio,model_score,delta_model_score
jp_auto_electronics_core,jp,mean_variance,smart_policy_oos_guard,0.46255130548393497,0.024249889596862584,0.8539932899743369,-0.09782687732687523,-0.518322798999152,0.18639797949915815,50.0,-3.200000000000003
jp_auto_electronics_core,jp,raw_black_litterman,smart_policy_oos_guard,0.40355793065220014,-0.03474348523487225,0.881475195110109,-0.07034497219110314,-0.7841342547595758,-0.0794134762612656,51.8,-1.4000000000000057
jp_auto_electronics_core,jp,smart_policy,smart_policy_oos_guard,0.4029537997296089,-0.03534761615746351,0.880136603456848,-0.07168356384436414,-0.7851842160214275,-0.08046343752311735,51.8,-1.4000000000000057
jp_auto_electronics_core,jp,smart_policy_oos_guard,smart_policy_oos_guard,0.4383014158870724,0.0,0.9518201673012121,0.0,-0.7047207784983102,0.0,53.2,0.0
jp_defensive_domestic,jp,equal_weight,smart_policy_oos_guard,0.08303142429285226,0.012713953275455436,0.344422120246968,0.04648235938250478,-1.2292852122208413,0.03984921745286618,53.0,0.7999999999999972
jp_defensive_domestic,jp,inverse_volatility,smart_policy_oos_guard,0.0895950748914327,0.019277603874035876,0.38357419624361183,0.08563443537914861,-1.2200505647375328,0.04908386493617467,53.8,1.5999999999999943
jp_defensive_domestic,jp,mean_variance,smart_policy_oos_guard,0.06469831951136396,-0.005619151506032871,0.2429743731727231,-0.054965387691740114,-1.253632825371915,0.015501604301792593,49.6,-2.6000000000000014
jp_defensive_domestic,jp,raw_black_litterman,smart_policy_oos_guard,0.06817499346827849,-0.002142477549118338,0.28739339043990825,-0.010546370424554974,-1.2714965762581358,-0.0023621465844283485,51.9,-0.30000000000000426
jp_defensive_domestic,jp,smart_policy,smart_policy_oos_guard,0.0655026354184074,-0.004814835598989431,0.2761077502829646,-0.02183201058149864,-1.279363883240468,-0.010229453566760416,51.7,-0.5
jp_defensive_domestic,jp,smart_policy_oos_guard,smart_policy_oos_guard,0.07031747101739683,0.0,0.2979397608644632,0.0,-1.2691344296737075,0.0,52.2,0.0
