portfolio_name,market,strategy,decision_policy,policy_asof,policy_confidence,policy_max_weight,policy_min_weight,policy_turnover_penalty,policy_concentration_penalty,policy_risk_level,policy_regime,policy_anomaly_impact,oos_leakage_guard,row_count,cumulative_return,benchmark_cumulative_return,benchmark_excess_return,annualized_return,annualized_volatility,max_drawdown,expected_shortfall,sharpe,information_ratio,turnover,model_score,model_grade,model_score_risk_control,model_score_profitability,model_score_alpha,model_score_stability,model_score_win_rate
hk_consumption_insurance_mix,hk,raw_black_litterman,,,,,,,,,,,,375,0.08330924696157971,0.26607756027739793,-0.18276831331581822,0.05524583467093702,0.18613422687357548,-0.13919522802337006,-0.043965676637270315,0.2968064261951169,-0.8815192430550759,1.1228157886881507,51.3,C,82.9,48.9,12.4,79.8,46.9
hk_consumption_insurance_mix,hk,smart_policy,raw,2024-11-01,0.95,0.3669,0.0356,0.0349,0.033,Extreme,Crisis,none,True,375,0.08709465750625878,0.26607756027739793,-0.17898290277113915,0.05772231504602887,0.1926928521868811,-0.14452929620340751,-0.04564546863172408,0.2995560779288663,-0.8772622442485906,1.0780431939943942,50.7,C,81.8,49.0,12.5,77.0,44.8
hk_consumption_insurance_mix,hk,smart_policy_oos_guard,raw,2024-11-01,0.95,0.3669,0.0356,0.0349,0.033,Extreme,Crisis,none,True,375,0.08709465750625878,0.26607756027739793,-0.17898290277113915,0.05772231504602887,0.1926928521868811,-0.14452929620340751,-0.04564546863172408,0.2995560779288663,-0.8772622442485906,0.4493833875955562,50.7,C,81.8,49.0,12.5,77.0,44.8
hk_income_property_credit,hk,equal_weight,,,,,,,,,,,,411,0.5490401132913314,0.5097278270915424,0.03931228619978899,0.30778024344837496,0.17117741079376106,-0.18721712467388615,-0.03955782252388043,1.7980190377993068,0.09390115125595494,0.0,73.0,B,78.3,93.9,43.8,88.5,48.9
hk_income_property_credit,hk,inverse_volatility,,,,,,,,,,,,411,0.4817961498741532,0.5097278270915424,-0.027931677217389206,0.27267353523454796,0.14641515644842948,-0.1576728310548379,-0.0350177858940557,1.8623313449833272,-0.06324523753547592,0.35026346328142305,74.3,B,83.1,95.9,37.5,95.0,51.3
hk_income_property_credit,hk,mean_variance,,,,,,,,,,,,411,0.5953139406875838,0.5097278270915424,0.0855861135960414,0.33159706183229676,0.16683233687274698,-0.16001899187658755,-0.037934723846050275,1.9876066477761185,0.1863091414590617,2.93542489323035,76.5,A,82.0,99.6,47.5,89.6,47.9
hk_income_property_credit,hk,raw_black_litterman,,,,,,,,,,,,411,0.5428960561858236,0.5097278270915424,0.03316822909428119,0.304597367206463,0.14946828729131106,-0.14634839494654273,-0.03504302503412223,2.03787286739165,0.07228116152498971,1.5501717789077345,77.0,A,84.4,100.0,42.9,94.2,50.9
hk_income_property_credit,hk,smart_policy,raw,2024-09-09,0.95,0.4284,0.0269,0.0275,0.0245,High,Normal,none,True,411,0.5405649514472048,0.5097278270915424,0.030837124355662437,0.3033884756995917,0.14649190864413825,-0.14114620230981392,-0.034263032128471385,2.071025481936961,0.06675950318843514,1.639166625150772,77.1,A,85.3,100.0,42.7,94.9,50.1
hk_income_property_credit,hk,smart_policy_oos_guard,raw,2024-09-09,0.95,0.4284,0.0269,0.0275,0.0245,High,Normal,none,True,411,0.5405649514472048,0.5097278270915424,0.030837124355662437,0.3033884756995917,0.14649190864413825,-0.14114620230981392,-0.034263032128471385,2.071025481936961,0.06675950318843514,0.7903922718561511,77.1,A,85.3,100.0,42.7,94.9,50.1
hk_china_etf_cross_asset,hk,equal_weight,,,,,,,,,,,,100,0.00022893123127598614,-0.0005411982872934873,0.0007701295185694734,0.0005770070814892225,0.18416703172026402,-0.10950986177363492,-0.03567810800837848,0.0031330639154007393,0.03556845557462439,0.0,55.4,C,88.7,40.1,41.4,67.8,50.0
hk_china_etf_cross_asset,hk,inverse_volatility,,,,,,,,,,,,100,0.010608023065673544,-0.0005411982872934873,0.011149221352967031,0.02694813165000487,0.17788474634265986,-0.10260996683819007,-0.03569632847967968,0.15149208801801708,0.49395524896899395,0.1406933327832723,61.4,B,89.5,44.5,59.8,70.9,53.0
hk_china_etf_cross_asset,hk,mean_variance,,,,,,,,,,,,100,0.0238084679656545,-0.0005411982872934873,0.024349666252947988,0.06108742468741313,0.1804490892254421,-0.10364072748498866,-0.03771769657507287,0.3385299695865698,1.1353227745173406,1.7723453293163614,67.7,B,88.8,50.2,85.4,69.7,49.0
hk_china_etf_cross_asset,hk,raw_black_litterman,,,,,,,,,,,,100,0.022705760732782965,-0.0005411982872934873,0.023246959020076452,0.05820977691094842,0.17748386353435244,-0.10159912087982655,-0.03697909922652843,0.3279722209770454,1.139376994045192,1.2206114061421673,68.5,B,89.3,49.8,85.6,71.1,54.0
hk_china_etf_cross_asset,hk,smart_policy,raw,2025-12-12,0.95,0.399,0.031,0.028,0.035,Medium,Normal,none,True,100,0.016451539524220182,-0.0005411982872934873,0.01699273781151367,0.041977709756089165,0.1772557048551772,-0.1030331898566661,-0.03612481953628973,0.23682007747161715,0.8311164267502448,0.8203657542424447,64.8,B,89.3,47.1,73.2,71.3,52.0
hk_china_etf_cross_asset,hk,smart_policy_oos_guard,raw,2025-12-12,0.95,0.399,0.031,0.028,0.035,Medium,Normal,none,True,100,0.016451539524220182,-0.0005411982872934873,0.01699273781151367,0.041977709756089165,0.1772557048551772,-0.1030331898566661,-0.03612481953628973,0.23682007747161715,0.8311164267502448,0.34078312349607587,64.8,B,89.3,47.1,73.2,71.3,52.0
