scope,horizon,market,portfolio_name,baseline,row_count,positive_event_count,positive_rate,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
portfolio,1,tw,tw_index_factor_mix,gradient_boosting,161.0,10.0,0.062111801242236024,0.4490066225165563,0.05906649313600293,0.1088941096403518,0.37890512923997427,0.12753278204207527,0.0,0.0,0.0
portfolio,1,tw,tw_index_factor_mix,historical_tail_threshold,161.0,10.0,0.062111801242236024,0.5735099337748344,0.08968944099378884,0.09937888178881989,2.059454992313031,0.09937888098757765,0.2,0.2,2.8411764705882354
portfolio,1,tw,tw_index_factor_mix,logistic_regression,161.0,10.0,0.062111801242236024,0.7059602649006622,0.16970887710266794,0.3510930963636641,0.9179391222564339,0.537791332797736,0.10256410256410256,0.8,1.8941176470588235
portfolio,1,tw,tw_index_factor_mix,random_forest,161.0,10.0,0.062111801242236024,0.662251655629139,0.13250522995117903,0.15101799499768004,0.4818493353262068,0.29202621006655644,0.08333333333333333,0.1,0.9470588235294117
portfolio,1,tw,tw_semiconductor_platform_core,frozen_calibrated_xgboost,394.0,21.0,0.0532994923857868,0.7082216264521894,0.09865965497718751,0.04954303624047726,0.1983332161041807,0.006330326766834643,0.0,0.0,2.3452380952380953
portfolio,1,tw,tw_semiconductor_platform_core,frozen_raw_xgboost_without_calibration,394.0,21.0,0.0532994923857868,0.7128813992084769,0.11420317992384396,0.2337656181458337,0.6621181422084284,0.4217820398244761,0.1323529411764706,0.42857142857142855,2.814285714285714
portfolio,1,tw,tw_semiconductor_platform_core,gradient_boosting,394.0,21.0,0.0532994923857868,0.6195582790757054,0.09256163974018602,0.09904551303636429,0.354668080110535,0.08862092581495962,0.07692307692307693,0.09523809523809523,0.9380952380952381
portfolio,1,tw,tw_semiconductor_platform_core,historical_tail_threshold,394.0,21.0,0.0532994923857868,0.5989403804417209,0.10013294657964708,0.07868020288832488,1.6305107658187,0.0786802020456853,0.25,0.23809523809523808,2.3452380952380953
portfolio,1,tw,tw_semiconductor_platform_core,logistic_regression,394.0,21.0,0.0532994923857868,0.5647899910634495,0.17345801865804483,0.2337335602547306,0.6718896219861196,0.412581421171889,0.08620689655172414,0.23809523809523808,2.3452380952380953
portfolio,1,tw,tw_semiconductor_platform_core,random_forest,394.0,21.0,0.0532994923857868,0.693603983148219,0.1901346566294033,0.11678653261529648,0.40316743379275877,0.2517243189261135,0.2857142857142857,0.19047619047619047,3.7523809523809524
portfolio,1,us,us_ai_infrastructure_barbell,frozen_calibrated_xgboost,409.0,23.0,0.05623471882640587,0.6086393331831493,0.09412567557994589,0.05248843844313049,0.2116419072495594,0.008469791435990283,0.0,0.0,2.168610816542948
portfolio,1,us,us_ai_infrastructure_barbell,frozen_raw_xgboost_without_calibration,409.0,23.0,0.05623471882640587,0.612300067582789,0.09187326508184765,0.24163854871061496,0.6769269045272173,0.4222583935429823,0.10526315789473684,0.34782608695652173,2.168610816542948
portfolio,1,us,us_ai_infrastructure_barbell,gradient_boosting,409.0,23.0,0.05623471882640587,0.5742847488173012,0.07421159700215392,0.056205424291106414,0.22881085450046984,0.03328549875768947,0.0,0.0,0.4337221633085896
portfolio,1,us,us_ai_infrastructure_barbell,historical_tail_threshold,409.0,23.0,0.05623471882640587,0.5188668619058346,0.05962631677524843,0.09779951080684599,2.026725267443063,0.097799510002445,0.09523809523809523,0.08695652173913043,2.168610816542948
