date,horizon,portfolio_name,market,feature,feature_value,shap_value
2025-05-30,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.008011031340541673,-0.14101429283618927
2025-05-30,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.012274660801002774,-0.0414779856801033
2025-05-30,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.012087166955911804,0.07199379056692123
2025-05-30,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.021078936264342304,-0.17415380477905273
2025-05-30,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.0016022062681083347,-0.02927336096763611
2025-05-30,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.0031995151834120243,-0.2036251276731491
2025-05-30,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.03956404700875282
2025-05-30,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.1219433844089508
2025-05-30,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006394277425480451,0.03549348562955856
2025-05-30,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.5232485340130018,-0.09916848689317703
2025-05-30,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,1.1824488639529767,-0.06600974500179291
2025-05-30,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.6027852160130717,0.0010930747957900167
2025-05-30,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9783638389542519,-0.0032707247883081436
2025-06-02,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,0.0023453950806807426,-0.05819440633058548
2025-06-02,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.013109145791515005,-0.1733873337507248
2025-06-02,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.012031811887895177,-0.04240031540393829
2025-06-02,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.011338356918725362,0.054216526448726654
2025-06-02,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.02090229403540426,-0.17611834406852722
2025-06-02,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.002621829158303001,-0.03019271232187748
2025-06-02,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.0022671097835019237,-0.19279322028160095
2025-06-02,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.03904450312256813
2025-06-02,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.12334828078746796
